"model","rmse_base","rmse_corr","task","improvement_pct"
"RF",1.79165655416908,1.46557533751347,"harod2_air",18.1999845839225
"LSTM_2h",1.79165655416908,1.34117699536168,"harod2_air",25.1431870555304
