"model","rmse_base","rmse_corr","task","improvement_pct"
"RF",10.5377955147946,2.05534976542055,"harod2_shd",80.495448383536
"LSTM_2h",10.5377955147946,1.81298755617833,"harod2_shd",82.7953811247051
