"logger","daily_mean_avg","daily_mean_sd","daily_min_avg","daily_min_sd","daily_max_avg","daily_max_sd"
"Valley - Sun",31.99,4.19,18.38,3.08,53.91,8.21
"Valley - Shade",24.35,3.34,19.23,2.92,34.16,6.02
"Valley - Air",23.3,3.67,15.38,3.26,32.08,5.14
