"model","rmse_mean_avg","rmse_mean_sd","rmse_min_avg","rmse_min_sd","rmse_max_avg","rmse_max_sd","me_mean_avg","me_mean_sd","me_min_avg","me_min_sd","me_max_avg","me_max_sd","logger"
"base",1.32,0.47,0.71,0.19,3.43,1.1,-1.25,0.47,-0.28,0.7,-3.27,1.1,"harod2_air"
"rf",0.31,0.21,0.6,0.4,1.72,1.37,-0.17,0.27,-0.14,0.63,-1.14,1.39,"harod2_air"
"lstm",0.63,0.56,0.55,0.29,1.53,1.1,-0.27,0.62,-0.06,0.59,-0.99,1.26,"harod2_air"
"base",6.89,3.62,4.58,1.97,14.59,7.84,-6.02,3.62,-4.2,1.97,-5.11,14.76,"harod2_sun"
"rf",1.91,1.56,1.56,0.81,1.97,1.39,-1.16,1.64,0.51,1.59,-0.81,1.94,"harod2_sun"
"lstm",1.41,0.93,1.38,0.8,3.02,1.93,-0.8,1.26,0.16,1.48,-0.8,3.15,"harod2_sun"
"base",9.69,1.39,6.25,1.09,19.35,3.34,-9.6,1.39,-6.17,1.09,-19.1,3.34,"harod2_shd"
"rf",1.42,0.63,1.08,0.55,4.42,2.17,-1.29,0.63,-0.96,0.55,-3.42,3.02,"harod2_shd"
"lstm",1.24,0.42,0.81,0.46,4.83,2.09,-1.18,0.42,-0.55,0.64,-4.42,2.09,"harod2_shd"
