"time","shade_temp","microhabitat","site_id","Location","lat","long"
"2020-06-01",25.4523786747009,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 01:00:00",18.2407186647192,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 02:00:00",18.7777422682967,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 03:00:00",19.1931850625278,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 04:00:00",20.1104554382095,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 05:00:00",21.6237427435324,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 06:00:00",22.8771434733474,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 07:00:00",23.9327070221591,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 08:00:00",24.9379370936289,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 09:00:00",25.0579226792051,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 10:00:00",25.9782497777572,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 11:00:00",24.3403532280639,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 12:00:00",23.2878413674406,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 13:00:00",23.0965166180791,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 14:00:00",22.8457223407609,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 15:00:00",22.0423313265392,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 16:00:00",21.1953124870801,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 17:00:00",20.7618056786087,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 18:00:00",20.6408057759311,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 19:00:00",20.5588587608436,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 20:00:00",20.319938756603,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 21:00:00",19.95611174008,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 22:00:00",18.9411262311667,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-01 23:00:00",18.9355206616592,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02",19.0763232824182,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 01:00:00",18.55440996797,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 02:00:00",18.3871312766985,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 03:00:00",18.2034340375398,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 04:00:00",19.3585287700126,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 05:00:00",20.6624580643031,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 06:00:00",21.5363343497915,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 07:00:00",21.6303329154023,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 08:00:00",21.742401659183,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 09:00:00",21.6108505985693,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 10:00:00",21.9747977131778,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 11:00:00",22.2698846918105,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 12:00:00",23.2542362384964,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 13:00:00",25.2333030564616,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 14:00:00",25.6050739015812,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 15:00:00",24.3236848621154,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 16:00:00",22.6983817905659,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 17:00:00",21.2744819552734,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 18:00:00",20.0600134710623,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 19:00:00",19.5727158351577,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 20:00:00",19.3784615821987,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 21:00:00",19.5213899229943,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 22:00:00",19.1162319107173,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-02 23:00:00",18.7246458073361,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03",18.6273259595415,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 01:00:00",18.1395927236515,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 02:00:00",17.8002129126258,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 03:00:00",17.6177610702191,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 04:00:00",18.3126987990964,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 05:00:00",18.989865268162,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 06:00:00",19.5567572754482,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 07:00:00",19.9819449187935,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 08:00:00",20.4480797733457,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 09:00:00",20.7998879761065,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 10:00:00",20.5687734476253,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 11:00:00",20.213637161083,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 12:00:00",19.9626375194754,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 13:00:00",19.5452490155922,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 14:00:00",19.0502172935658,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 15:00:00",18.0757355654746,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 16:00:00",17.6748223383896,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 17:00:00",17.800723231504,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 18:00:00",18.0023464836774,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 19:00:00",17.6437393915594,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 20:00:00",17.0525019850751,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 21:00:00",16.5085955078206,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 22:00:00",16.2691365896105,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-03 23:00:00",16.2470503175612,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04",16.1814177058428,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 01:00:00",16.0189771009089,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 02:00:00",15.7674177271127,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 03:00:00",15.6590955637862,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 04:00:00",16.7748068604473,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 05:00:00",18.1413512355041,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 06:00:00",19.2024800322687,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 07:00:00",19.8188734689091,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 08:00:00",20.713550984773,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 09:00:00",21.3129709770388,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 10:00:00",21.7174540585763,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 11:00:00",21.9522754413728,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 12:00:00",22.1931208496734,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 13:00:00",22.0075691900331,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 14:00:00",22.1894778045456,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-06-04 15:00:00",22.4652432794024,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
