"logger","daily_mean_avg","daily_mean_sd","daily_min_avg","daily_min_sd","daily_max_avg","daily_max_sd"
"Desert - Rock",18.66,2.38,15.06,1.76,23.62,3.8
"Desert - Bush",18.9,2.42,15.29,2.08,24.99,3.58
