"model","rmse_mean_avg","rmse_mean_sd","rmse_min_avg","rmse_min_sd","rmse_max_avg","rmse_max_sd","me_mean_avg","me_mean_sd","me_min_avg","me_min_sd","me_max_avg","me_max_sd","logger"
"base",7.71,0.87,5.9,1.51,10.7,0.98,-7.67,0.87,-5.73,1.51,-10.66,0.98,"Rock_S_T_2_W"
"rf",0.1,0.05,0.3,0.24,0.31,0.23,-0.03,0.1,-0.03,0.32,-0.11,0.32,"Rock_S_T_2_W"
"lstm",1.68,0.94,1.62,1.44,2.86,0.94,-1.44,0.94,-0.38,1.7,-2.72,0.94,"Rock_S_T_2_W"
"base",6.66,1.64,4.17,1.01,11.64,3.87,-6.49,1.64,-4.07,1.01,-11.08,3.87,"Bush_S_T_2_W"
"rf",0.68,0.5,0.89,0.62,1.96,0.72,-0.08,0.73,0.68,0.62,-1.08,1.77,"Bush_S_T_2_W"
"lstm",1.44,0.88,0.97,0.58,4.07,2.05,-0.25,1.53,0.43,0.93,-1.74,3.98,"Bush_S_T_2_W"
