"target","strategy","train_size","rmse_base","rmse_corr","improvement_pct"
"Ashkelon","A: Zero-Shot (Nearby Sites)",9357,10.4033696896196,3.4274243278829,67.0546714176394
"Ashkelon","B: Specialized (Local Data)",4631,10.4033696896196,0.980699799834605,90.5732485810522
"Ashkelon","C: Pooled (All Sites)",13988,10.4033696896196,0.971173305695608,90.6648198163655
"Ashkelon","D: Pooled (Downsampled to N)",4631,10.4033696896196,1.59813181881407,84.6383252110259
"Range_24","A: Zero-Shot (Nearby Sites)",9524,7.58530892466292,2.42862186915189,67.9825582151907
"Range_24","B: Specialized (Local Data)",4464,7.58530892466292,0.383494966380477,94.94424063424
"Range_24","C: Pooled (All Sites)",13988,7.58530892466292,0.483029661384733,93.6320370576575
"Range_24","D: Pooled (Downsampled to N)",4464,7.58530892466292,1.37558577014331,81.8651318778762
"Rosh_HaNikra","A: Zero-Shot (Nearby Sites)",9095,8.55214592928416,3.74870287384736,56.1665235270239
"Rosh_HaNikra","B: Specialized (Local Data)",4893,8.55214592928416,0.972104496687155,88.6332096677807
"Rosh_HaNikra","C: Pooled (All Sites)",13988,8.55214592928416,0.904108577083964,89.4282840288292
"Rosh_HaNikra","D: Pooled (Downsampled to N)",4893,8.55214592928416,2.25396206251942,73.644485475845
