"model","rmse_mean_avg","rmse_mean_sd","rmse_min_avg","rmse_min_sd","rmse_max_avg","rmse_max_sd","me_mean_avg","me_mean_sd","me_min_avg","me_min_sd","me_max_avg","me_max_sd","logger"
"base",4.49,1.81,2.83,1.34,20.09,8.45,2.94,3.43,-2.47,1.4,18.19,8.63,"Ashkelon"
"rf",1.68,0.86,1.57,0.99,5.98,3.18,1.18,1.22,-0.46,1.52,4.84,3.55,"Ashkelon"
"base",4.03,1.58,2.2,1.34,12.75,4.69,1.25,3.9,-1.61,1.53,8.68,9.49,"Range_24"
"rf",0.9,0.51,1.61,0.95,2.92,1.49,0.53,0.74,0.94,1.32,-1.73,2.39,"Range_24"
"base",3.92,1.73,3.81,1.95,16.09,6.92,0.98,3.84,-3.08,2.27,12.83,9.83,"Rosh_HaNikra"
"rf",1.39,0.88,2.29,0.97,4.69,2.49,-0.9,1.07,-0.88,2.14,1.42,4.53,"Rosh_HaNikra"
