"logger","daily_mean_avg","daily_mean_sd","daily_min_avg","daily_min_sd","daily_max_avg","daily_max_sd"
"Ashkelon",29.92,4.17,23.37,2.99,39.38,7.39
"Range_24",32.12,2.02,23.04,2.4,46.73,3.09
"Rosh_HaNikra",32.66,1.87,23.88,3.28,45.85,5.37
